TXT DosyaNo;esasNo;kararNo
000821;2020-3035;2022-1676
000822;2020-3046;2022-1680
000823;2020-3032;2022-1670
000824;2019-2181;2022-1492
000825;2020-2789;2022-1694
000826;2020-2571;2022-1686
000827;2021-3858;2022-1493
000828;2021-2482;2022-1494
000829;2020-2778;2022-1702
000830;2021-8666;2022-1685
000831;2020-2785;2022-1703
000832;2020-2762;2022-1701
000833;2020-2746;2022-1698
000834;2020-2581;2022-1687
000835;2020-2776;2022-1693
000836;2020-2587;2022-1689
000837;2020-2756;2022-1699
000838;2018-5655;2022-1508
000839;2020-2162;2022-1521
000840;2021-4673;2022-2136
000841;2019-3515;2022-2154
000842;2019-1145;2022-2342
000843;2021-4985;2022-2323
000844;2019-930;2022-2335
000845;2022-801;2022-1129
000846;2022-796;2022-1125
000847;2022-787;2022-1120
000848;2018-875;2022-2232
000849;2019-5034;2022-1455
000850;2020-4860;2022-1439
000851;2019-7067;2022-1456
000852;2019-107;2022-1479
000853;2020-8616;2022-4089
000854;2018-6914;2022-2248
000855;2018-7042;2022-2243
000856;2018-7038;2022-2235
000857;2018-7039;2022-2238
000858;2018-6913;2022-2246
000859;2018-6923;2022-2240
000860;2018-7041;2022-2237
000861;2019-130;2022-2245
000862;2018-6822;2022-2234
000863;2018-7040;2022-2241
000864;2019-3800;2022-1363
000865;2020-2698;2022-1392
000866;2020-1867;2022-1347
000867;2019-20521;2022-4056
000868;2022-1645;2022-4012
000869;2019-4389;2022-1477
000870;2019-20731;2022-4057
000871;2019-5626;2022-1471
000872;2022-766;2022-1158
000873;2022-759;2022-1153
000874;2022-776;2022-1101
000875;2022-762;2022-1155
000876;2022-760;2022-1154
000877;2022-765;2022-1157
000878;2022-767;2022-1159
000879;2022-769;2022-1161
000880;2022-768;2022-1160
000881;2020-1654;2022-1442
000882;2019-3951;2022-1458
000883;2022-802;2022-1092
000884;2022-771;2022-1163
000885;2019-3501;2022-1441
000886;2019-3956;2022-1459
000887;2022-794;2022-1097
000888;2022-803;2022-1130
000889;2022-761;2022-1089
000890;2022-797;2022-1126
000891;2022-770;2022-1162
000892;2022-739;2022-1135
000893;2019-806;2022-1443
000894;2022-743;2022-1139
000895;2022-800;2022-1128
000896;2022-804;2022-1131
000897;2022-783;2022-1116
000898;2022-807;2022-1134
000899;2021-7528;2022-1763
000900;2019-12911;2022-4063
000901;2019-18075;2022-4074
000902;2021-4364;2022-4093
000903;2021-2375;2022-4084
000904;2021-2386;2022-4086
000905;2021-2374;2022-4083
000906;2021-2387;2022-4087
000907;2020-4661;2022-3983
000908;2019-6776;2022-1460
000909;2022-799;2022-1091
000910;2022-774;2022-1099
000911;2022-793;2022-1096
000912;2022-763;2022-1090
000913;2019-2876;2022-1444
000914;2019-1032;2022-1483
000915;2019-1029;2022-1482
000916;2021-8891;2022-4078
000917;2021-9791;2022-4070
000918;2017-1719;2022-1377
000919;2021-4909;2022-1369
000920;2022-757;2022-1151
000921;2022-747;2022-1143
000922;2022-751;2022-1146
000923;2022-745;2022-1141
000924;2022-752;2022-1088
000925;2019-12152;2022-4077
000926;2021-9702;2022-4069
000927;2022-758;2022-1152
000928;2021-3771;2022-1431
000929;2019-6126;2022-1423
000930;2019-5332;2022-1427
000931;2019-5177;2022-1421
000932;2022-1043;2022-1643
000933;2022-4103;2022-1655
000934;2022-1181;2022-1658
000935;2022-3290;2022-1642
000936;2018-1827;2022-1368
000937;2018-2003;2022-1369
000938;2021-3845;2022-3951
000939;2021-11054;2022-1644
